iter	Passed	Remaining
426	1663	2232
427	1666	2227
428	1668	2221
429	1672	2217
430	1677	2214
431	1680	2209
432	1683	2203
433	1686	2199
434	1689	2194
435	1691	2188
436	1694	2182
437	1699	2180
438	1703	2176
439	1705	2170
440	1707	2164
441	1710	2159
442	1712	2153
443	1715	2148
444	1718	2143
445	1720	2137
446	1722	2131
447	1726	2126
448	1730	2124
449	1732	2118
450	1736	2113
451	1741	2110
452	1743	2105
453	1746	2100
454	1754	2101
455	1757	2096
456	1759	2090
457	1763	2087
458	1766	2081
459	1768	2075
460	1771	2070
461	1779	2072
462	1782	2066
463	1786	2063
464	1789	2059
465	1792	2054
466	1795	2048
467	1801	2048
468	1804	2043
469	1807	2037
470	1813	2036
471	1815	2031
472	1818	2025
473	1820	2020
474	1823	2015
475	1826	2010
476	1828	2005
477	1831	1999
478	1834	1995
479	1836	1990
480	1839	1984
481	1842	1979
482	1847	1977
483	1850	1972
484	1853	1967
485	1857	1964
486	1859	1958
487	1862	1953
488	1865	1949
489	1870	1947
490	1873	1941
491	1875	1936
492	1877	1931
493	1883	1928
494	1885	1923
495	1888	1918
496	1893	1916
497	1895	1910
498	1897	1905
499	1900	1900
500	1905	1897
501	1907	1892
502	1911	1888
503	1941	1910
504	1946	1907
505	1948	1902
506	1950	1896
507	1953	1892
508	1956	1887
509	1959	1882
510	1962	1877
511	1965	1873
512	1968	1868
513	1971	1863
514	1976	1860
515	1978	1855
516	1980	1850
517	1982	1844
518	1987	1841
519	1989	1836
520	1992	1831
521	1994	1826
522	1996	1821
523	1999	1816
524	2002	1811
525	2008	1809
526	2010	1804
527	2013	1799
528	2017	1795
529	2019	1791
530	2021	1785
531	2024	1780
532	2030	1778
533	2032	1773
534	2035	1769
535	2043	1768
536	2045	1763
537	2048	1759
538	2052	1755
539	2054	1750
540	2057	1745
541	2059	1740
542	2065	1737
543	2067	1733
544	2070	1728
545	2072	1723
546	2077	1720
547	2079	1715
548	2081	1709
549	2085	1706
550	2089	1702
551	2091	1697
552	2094	1692
553	2096	1688
554	2103	1686
555	2105	1681
556	2107	1676
557	2115	1675
558	2117	1670
559	2119	1665
560	2122	1661
561	2126	1657
562	2129	1652
563	2132	1648
564	2135	1644
565	2140	1641
566	2142	1636
567	2145	1631
568	2148	1627
569	2151	1622
570	2153	1618
571	2156	1613
572	2159	1609
573	2161	1604
574	2164	1599
575	2166	1595
576	2170	1591
577	2172	1586
578	2174	1581
579	2177	1576
580	2181	1573
581	2183	1568
582	2186	1563
583	2189	1559
584	2191	1554
585	2193	1549
586	2195	1544
587	2197	1539
588	2200	1535
589	2202	1530
590	2205	1526
591	2209	1522
592	2211	1518
593	2216	1514
594	2218	1509
595	2221	1505
596	2224	1501
597	2227	1497
598	2229	1492
599	2231	1487
600	2233	1482
601	2236	1478
602	2239	1474
603	2241	1469
604	2244	1465
605	2246	1460
606	2248	1455
607	2251	1451
608	2253	1446
609	2255	1442
610	2257	1437
611	2260	1433
612	2265	1429
613	2267	1425
614	2269	1420
615	2271	1415
616	2273	1411
617	2276	1406
618	2278	1402
619	2280	1397
620	2282	1393
621	2285	1388
622	2287	1384
623	2289	1379
624	2291	1374
625	2294	1370
626	2296	1366
627	2299	1361
628	2301	1357
629	2303	1352
630	2306	1348
631	2308	1344
632	2310	1339
633	2313	1335
634	2315	1330
635	2317	1326
636	2320	1322
637	2323	1318
638	2325	1313
639	2327	1309
640	2344	1313
641	2351	1311
642	2353	1306
643	2355	1302
644	2359	1298
645	2361	1294
646	2363	1289
647	2367	1285
648	2371	1282
649	2373	1277
650	2375	1273
651	2377	1268
652	2382	1266
653	2384	1261
654	2387	1257
655	2389	1253
656	2391	1248
657	2394	1244
658	2396	1240
659	2399	1236
660	2404	1233
661	2406	1228
662	2409	1224
663	2411	1220
664	2414	1216
665	2417	1212
666	2419	1207
667	2422	1203
668	2424	1199
669	2426	1195
670	2429	1191
671	2431	1186
672	2434	1182
673	2436	1178
674	2438	1174
675	2440	1169
676	2445	1166
677	2448	1162
678	2450	1158
679	2452	1154
680	2455	1150
681	2457	1145
682	2460	1141
683	2462	1137
684	2465	1133
685	2468	1129
686	2470	1125
687	2473	1121
688	2475	1117
689	2477	1113
690	2481	1109
691	2483	1105
692	2485	1101
693	2487	1096
694	2490	1092
695	2492	1088
696	2495	1084
697	2498	1081
698	2502	1077
699	2504	1073
700	2507	1069
701	2509	1065
702	2512	1061
703	2514	1057
704	2516	1053
705	2519	1049
706	2521	1045
707	2525	1041
708	2527	1037
709	2529	1033
710	2532	1029
711	2535	1025
712	2537	1021
713	2540	1017
714	2542	1013
715	2544	1009
716	2547	1005
717	2550	1001
718	2552	997
719	2554	993
720	2557	989
721	2562	986
722	2565	982
723	2567	978
724	2570	974
725	2576	972
726	2578	968
727	2582	964
728	2585	961
729	2587	956
730	2589	952
731	2592	949
732	2595	945
733	2597	941
734	2599	937
735	2601	933
736	2605	929
737	2607	925
738	2609	921
739	2611	917
740	2614	913
741	2617	910
742	2620	906
743	2622	902
744	2625	898
745	2628	894
746	2630	891
747	2632	886
748	2634	882
749	2636	878
750	2641	875
751	2643	871
752	2645	867
753	2647	863
754	2650	859
755	2652	856
756	2654	852
757	2657	848
758	2659	844
759	2663	841
760	2665	837
761	2667	833
762	2669	829
763	2672	825
764	2676	822
765	2679	818
766	2682	814
767	2684	810
768	2686	807
769	2689	803
770	2691	799
771	2693	795
772	2698	792
773	2700	788
774	2702	784
775	2704	780
776	2707	777
777	2711	773
778	2713	769
779	2715	766
780	2718	762
781	2722	758
782	2724	755
783	2726	751
784	2729	747
785	2734	744
786	2737	740
787	2739	737
788	2741	733
789	2745	729
790	2747	726
791	2750	722
792	2752	718
793	2755	714
794	2758	711
795	2761	707
796	2763	703
797	2765	700
798	2769	696
799	2771	692
800	2774	689
801	2777	685
802	2780	682
803	2783	678
804	2790	675
805	2794	672
806	2797	668
807	2799	665
808	2801	661
809	2803	657
810	2808	654
811	2810	650
812	2812	646
813	2815	643
814	2819	639
815	2821	636
816	2823	632
817	2825	628
818	2828	624
819	2831	621
820	2833	617
821	2836	614
822	2838	610
823	2840	606
824	2843	603
825	2846	599
826	2848	595
827	2850	592
828	2853	588
829	2856	585
830	2858	581
831	2860	577
832	2863	574
833	2867	570
834	2869	566
835	2871	563
836	2874	559
837	2877	556
838	2880	552
839	2882	549
840	2885	545
841	2891	542
842	2894	539
843	2897	535
844	2899	531
845	2903	528
846	2906	524
847	2908	521
848	2910	517
849	2912	514
850	2915	510
851	2917	506
852	2921	503
853	2924	499
854	2927	496
855	2929	492
856	2932	489
857	2935	485
858	2940	482
859	2943	479
860	2945	475
861	2948	472
862	2950	468
863	2953	464
864	2957	461
865	2960	458
866	2962	454
867	2964	450
868	2968	447
869	2971	443
870	2973	440
871	2979	437
872	2981	433
873	2984	430
874	2990	427
875	2993	423
876	2996	420
877	2999	416
878	3002	413
879	3006	409
880	3008	406
881	3012	403
882	3015	399
883	3018	396
884	3022	392
885	3025	389
886	3029	385
887	3030	382
888	3033	378
889	3036	375
890	3039	371
891	3043	368
892	3046	365
893	3049	361
894	3052	358
895	3055	354
896	3060	351
897	3066	348
898	3068	344
899	3071	341
900	3073	337
901	3076	334
902	3078	330
903	3081	327
904	3086	323
905	3089	320
906	3092	317
907	3094	313
908	3098	310
909	3100	306
910	3103	303
911	3108	299
912	3112	296
913	3115	293
914	3118	289
915	3121	286
916	3124	282
917	3127	279
918	3131	275
919	3133	272
920	3136	269
921	3139	265
922	3144	262
923	3146	258
924	3149	255
925	3153	252
926	3156	248
927	3158	245
928	3162	241
929	3166	238
930	3168	234
931	3171	231
932	3176	228
933	3179	224
934	3181	221
935	3184	217
936	3189	214
937	3191	210
938	3195	207
939	3199	204
940	3202	200
941	3205	197
942	3207	193
943	3213	190
944	3215	187
945	3218	183
946	3221	180
947	3225	176
948	3232	173
949	3235	170
950	3237	166
951	3244	163
952	3246	160
953	3250	156
954	3254	153
955	3257	149
956	3259	146
957	3262	143
958	3266	139
959	3268	136
960	3270	132
961	3274	129
962	3277	125
963	3280	122
964	3282	119
965	3287	115
966	3289	112
967	3292	108
968	3294	105
969	3299	102
970	3301	98
971	3304	95
972	3307	91
973	3312	88
974	3314	84
975	3317	81
976	3319	78
977	3323	74
978	3325	71
979	3327	67
980	3330	64
981	3333	61
982	3335	57
983	3337	54
984	3340	50
985	3345	47
986	3348	44
987	3351	40
988	3353	37
989	3359	33
990	3361	30
991	3364	27
992	3367	23
993	3369	20
994	3371	16
995	3374	13
996	3379	10
997	3382	6
998	3384	3
999	3387	0
